,id,externalchannelname,incidentdate,classificationid,createdatetime,priority,ciscaseid,crmcaseid,crmcasestatus,ciscasestatus,histclusterid,retiredate,externalchannelid,externalchannelincidentid,clusterid,month,municipalityid,submunicipalityid,coordinatex,coordinatey,numberofunits
551,6116796,Urbi,2024-05-06 03:00:00,NSPCL-23,2024-05-07 23:03:29,Low (0%-10%),,INC-24-05-098949,Closed,,0e521e4ed109af9e_NSPCL-23,,009,13130900_NSPCL-23,56aa6b0750f79884_NSPCL-23,5,008001,008704,42.85204734,25.500111274,1
552,6159537,Urbi,2024-05-06 03:00:00,NSPCL-5,2024-05-07 23:05:52,Low (0%-10%),,INC-24-05-097942,Closed,,0e646742916deafe_NSPCL-5,,009,13132810_NSPCL-5,e23d0ea2cd85541d_NSPCL-5,5,008001,008704,42.867112212,25.509395796,1
553,5510494,Urbi,2024-04-04 03:00:00,NSPCL-36,2024-04-07 19:04:12,,,,Retired,Retired,4ca0f52debf35b09_NSPCL-36,2024-05-07 13:09:14,009,10352897_NSPCL-36,d8c0a41cd7676cfe_NSPCL-36,4,008001,008101,44.008777202,26.096429755,1
554,5895126,Urbi,2024-05-02 03:00:00,NSPCL-51,2024-05-02 23:03:53,,,,Retired,Retired,60296ac926cfa3a1_NSPCL-51,2024-05-26 19:09:03,009,11999159_NSPCL-51,0adeff0b24ca6920_NSPCL-51,5,008001,008201,43.499631945,25.868519391,1
555,6154194,Urbi,2024-05-07 03:00:00,NSPCL-92,2024-05-07 23:05:36,,,INC-24-05-277977,Closed,,15fca226fa9fde16_NSPCL-92,,009,13363089_NSPCL-92,f57749ecec235592_NSPCL-92,5,008001,008203,44.204526532,25.877517088,1
556,6147847,Urbi,2024-05-07 03:00:00,NSPCL-23,2024-05-07 23:05:15,Low (0%-10%),,INC-24-05-135908,Closed,,4805fbc358749ad6_NSPCL-23,,009,13312369_NSPCL-23,8881ac0e236b270f_NSPCL-23,5,008001,008706,44.166027955,25.509069058,1
557,4822442,Urbi,2024-04-01 03:00:00,NSPCL-36,2024-04-03 20:51:23,,,,Retired,Retired,cd5ae4f383ba451e_NSPCL-36,2024-05-07 13:09:14,009,9403135_NSPCL-36,,4,008001,008001068,43.959668802,26.366982872,1
558,5641007,Urbi,2024-04-17 03:00:00,NSPCL-36,2024-04-17 23:01:28,,,,Retired,Retired,f753bcfe01cebe2c_NSPCL-36,2024-05-07 13:09:14,009,11025449_NSPCL-36,22e8afec66e8b4e1_NSPCL-36,4,008001,008001067,43.968771722,26.316684526,1
559,5635455,Urbi,2024-04-16 03:00:00,NSPCL-36,2024-04-16 23:01:32,,,,Retired,Retired,c1b073155d02b6af_NSPCL-36,2024-05-07 13:09:14,009,10979614_NSPCL-36,42fbf0337a3c4d2e_NSPCL-36,4,008001,008302,43.735153,25.9844251,1
560,5614949,Urbi,2024-04-11 03:00:00,NSPCL-74,2024-04-11 23:00:30,,,,Retired,Retired,06732220cfd6cd8b_NSPCL-74,2024-05-07 13:09:14,009,10864963_NSPCL-74,613e96bb7c8c474a_NSPCL-74,4,008001,008202,43.59841175,26.127482481,1
561,5618243,Urbi,2024-04-12 03:00:00,NSPCL-74,2024-04-12 23:00:28,,,,Retired,Retired,88b830127ea4fe9e_NSPCL-74,2024-05-07 13:09:14,009,10876866_NSPCL-74,7dc7a2aa3d44e1a8_NSPCL-74,4,008001,008202,43.611485352,26.120414396,1
562,5620799,Urbi,2024-04-13 03:00:00,NSPCL-74,2024-04-13 23:00:27,,,,Retired,Retired,0744407bcfbdfe03_NSPCL-74,2024-05-07 13:09:14,009,10889799_NSPCL-74,9dbc3086284b6bba_NSPCL-74,4,008001,008001653,43.907849553,26.361278068,1
563,6436293,GEOTECH,2024-05-16 10:48:44,NSPCL-36,2024-06-10 10:59:08,Low (0%-10%),,,Clustering_Completed,New,b525b3329440fa0f_NSPCL-36,,002,GT_VD_9726063_36_4,5e604f231e6e3344_NSPCL-36,5,008001,008001653,43.857708333,26.385741667,1
564,4988686,Urbi,2024-04-01 03:00:00,NSPCL-29,2024-04-03 20:56:39,,,INC-24-04-116197,Closed,,39007b5c06b5d810_NSPCL-29,2024-05-26 19:09:03,009,9368868_NSPCL-29,ad435873c4405479_NSPCL-29,4,008001,008708,43.258936989,26.440593944,1
565,6066809,Urbi,2024-05-06 03:00:00,NSPCL-71,2024-05-06 23:03:02,Low (0%-10%),,,Retired,Retired,a4873e81b8ba6117_NSPCL-71,2024-05-26 19:09:03,009,13080758_NSPCL-71,ceef4c01bf336ef7_NSPCL-71,5,008001,008001653,43.846315764,26.400008968,1
566,6067344,Urbi,2024-05-05 03:00:00,NSPCL-92,2024-05-06 23:03:06,,,,Retired,Retired,62b4432195077ab0_NSPCL-92,2024-05-26 19:09:03,009,12832372_NSPCL-92,d5a836bade813a46_NSPCL-92,5,008001,008001562,43.992999244,26.332626178,1
567,6071625,Urbi,2024-05-05 03:00:00,NSPCL-29,2024-05-06 23:03:18,Low (0%-10%),,,Retired,Retired,b71fa44ee4f9b1c5_NSPCL-29,2024-05-26 19:09:03,009,12946913_NSPCL-29,7e83bd3cd58ac3ad_NSPCL-29,5,008001,008603,42.213112667,25.826111467,1
568,6071627,Urbi,2024-05-05 03:00:00,NSPCL-49,2024-05-06 23:03:18,,,,Retired,Retired,bc4822ac1007dc03_NSPCL-49,2024-05-26 19:09:03,009,12946998_NSPCL-49,33da7e55bb57be38_NSPCL-49,5,008001,008603,42.215506593,25.8233794,1
569,5619433,Urbi,2024-04-12 03:00:00,NSPCL-92,2024-04-12 23:00:34,Low (0%-10%),,,Retired,Retired,ca7172c16a72cf7e_NSPCL-92,2024-05-26 19:09:03,009,10872579_NSPCL-92,279b31f9e8700993_NSPCL-92,4,008001,008001562,44.00386691,26.359246867,1
570,6053270,Urbi,2024-05-06 03:00:00,NSPCL-29,2024-05-06 23:02:19,Low (0%-10%),,,Retired,Retired,c440830304dca863_NSPCL-29,2024-05-26 19:09:03,009,12999744_NSPCL-29,2ce988449877e071_NSPCL-29,5,008001,008001537,43.885475076,26.429337139,1
571,6054854,Urbi,2024-05-05 03:00:00,NSPCL-71,2024-05-06 23:02:25,Low (0%-10%),,,Retired,Retired,2a3ec4925ac1bcd1_NSPCL-71,2024-05-26 19:09:03,009,12833005_NSPCL-71,9cd661ca55827dd1_NSPCL-71,5,008001,008001562,43.999701149,26.330384002,1
572,5619413,Urbi,2024-04-12 03:00:00,NSPCL-92,2024-04-12 23:00:34,Low (0%-10%),,INC-24-05-052119,Closed,,b6264f6966c44fde_NSPCL-92,2024-05-26 19:09:03,009,10865715_NSPCL-92,e75c9cf48d87e40c_NSPCL-92,4,008001,008203,44.201976116,25.877070483,1
573,6056312,Urbi,2024-05-05 03:00:00,NSPCL-51,2024-05-06 23:02:28,,,,Retired,Retired,a8d57d97a0cdcc80_NSPCL-51,2024-05-26 19:09:03,009,12944433_NSPCL-51,c4867a254eae30a7_NSPCL-51,5,008001,008603,42.1953136,25.821201867,1
574,6072211,Urbi,2024-05-05 03:00:00,NSPCL-71,2024-05-06 23:03:18,Low (0%-10%),,,Retired,Retired,ae546a9c0228603b_NSPCL-71,2024-05-26 19:09:03,009,12971342_NSPCL-71,60189102480bacf5_NSPCL-71,5,008001,008001653,43.850357339,26.375451641,1
575,6072734,Urbi,2024-05-06 03:00:00,NSPCL-63,2024-05-06 23:03:21,,,,Retired,Retired,20d1313066323a69_NSPCL-63,2024-05-26 18:29:28,009,13089616_NSPCL-63,f1af043eb796e313_NSPCL-63,5,008001,008001068,43.929731167,26.377986692,1
576,6072738,Urbi,2024-05-06 03:00:00,NSPCL-63,2024-05-06 23:03:21,,,,Retired,Retired,9edd567e27731dd1_NSPCL-63,2024-05-26 21:48:20,009,13089640_NSPCL-63,f1af043eb796e313_NSPCL-63,5,008001,008001068,43.929790657,26.377731388,1
577,6072749,Urbi,2024-05-05 03:00:00,NSPCL-29,2024-05-06 23:03:21,Low (0%-10%),,,Retired,Retired,560015aa2b724318_NSPCL-29,2024-05-26 19:09:03,009,12974322_NSPCL-29,9fca8f83daee44ea_NSPCL-29,5,008001,008001653,43.834550265,26.385047799,1
578,5122593,Urbi,2024-04-02 03:00:00,NSPCL-29,2024-04-03 21:01:14,,,INC-24-05-048573,Closed,,aab4bfb035d31f5e_NSPCL-29,2024-05-26 19:09:03,009,9745078_NSPCL-29,d6c58dd6b8ad2f77_NSPCL-29,4,008001,008001293,44.057913132,26.312622182,1
